Date,Bus Route,Headsign,Stop,Ons,Offs,Sum OnOff,Actual Dwell,Bus,free,Notes
4/15/2022,23,Ashmont,Ruggles,8,0,8,14,40ft,Y,
4/15/2022,23,Ashmont,Malcolm @ King,12,0,12,17,40ft,Y,
4/15/2022,23,Ashmont,Shawmut,0,1,1,6,40ft,Y,
4/15/2022,23,Ashmont,Nubian,10,6,16,35,40ft,Y,
4/15/2022,8,Kenmore,Nubian,7,2,9,42,40ft,N,
4/15/2022,SL5,DTX,Nubian,24,0,24,69,60ft,N,
4/15/2022,28,Mattapan,Nubian,6,4,10,32,60ft,Y,
4/15/2022,SL4,South Station,Nubian,4,0,4,28,60ft,N,
4/15/2022,41,JFK,Nubian,7,1,8,40,40ft,N,
4/15/2022,15,St Peters,Nubian,8,1,9,58,40ft,N,
4/15/2022,19,Fields Corner,Nubian,2,0,2,15,40ft,N,
4/15/2022,23,Ruggles,Nubian,8,16,24,33,40ft,Y,
4/15/2022,41,JFK,Nubian,6,0,6,38,40ft,N,
4/15/2022,23,Ashmont,Nubian,14,0,14,37,40ft,Y,
4/15/2022,15,Ruggles,Nubian,0,3,3,11,40ft,N,
4/15/2022,19,Fields Corner,Nubian,7,0,7,32,40ft,N,
4/15/2022,44,Jackson,Nubian,2,0,2,11,40ft,N,
4/15/2022,23,Ashmont,Nubian,12,5,17,165,40ft,Y,Wheelchair
4/15/2022,SL5,DTX,Nubian,20,0,20,64,60ft,N,
4/15/2022,SL4,South Station,Nubian,3,0,3,18,60ft,N,
4/15/2022,45,Franklin Park,Nubian,3,1,4,18,40ft,N,
4/15/2022,28,Ruggles,Nubian,1,10,11,18,60ft,Y,
4/15/2022,23,Ashmont,Nubian,8,0,8,25,40ft,Y,
4/15/2022,28,Mattapan,Nubian,14,5,19,35,60ft,Y,
4/15/2022,SL5,DTX,Nubian,10,0,10,52,60ft,N,
4/15/2022,23,Ashmont,Nubian,9,1,10,23,40ft,Y,
4/15/2022,19,Fields Corner,Nubian,4,0,4,13,40ft,N,
4/15/2022,28,Mattapan,Nubian,8,0,8,21,60ft,Y,
4/15/2022,SL4,South Station,Nubian,20,0,20,77,60ft,N,
4/15/2022,8,Kenmore,Nubian,3,2,5,19,40ft,N,
4/15/2022,SL5,DTX,Nubian,19,0,19,73,60ft,N,
4/15/2022,28,Mattapan,Nubian,16,0,16,30,60ft,Y,
4/15/2022,42,Forest Hills,Nubian,6,0,6,58,40ft,N,
4/15/2022,66,Allston,Nubian,19,0,19,57,40ft,N,
4/15/2022,28,Ruggles,Nubian,1,18,19,28,60ft,Y,
4/15/2022,23,Ashmont,Nubian,3,0,3,12,40ft,Y,
4/15/2022,15,Kane Sq,Nubian,4,0,4,12,40ft,N,
4/15/2022,SL4,South Station,Nubian,11,0,11,80,60ft,N,
4/15/2022,23,Ashmont,Nubian,9,2,11,17,40ft,Y,
4/15/2022,14,Roslindale,Nubian,12,0,12,82,40ft,N,
2/28/2022,23,Ashmont,Nubian,10,0,10,55,40ft,N,
2/28/2022,23,Ashmont,Dabney,1,0,1,6.5,40ft,N,
2/28/2022,23,Ashmont,Townsend,0,1,1,9,40ft,N,
2/28/2022,23,Ashmont,Waumbeck,1,0,1,9,40ft,N,
2/28/2022,23,Ashmont,BHA,1,0,1,6,40ft,N,
2/28/2022,23,Ashmont,Jeremiah,0,2,2,22,40ft,N,
2/28/2022,23,Ashmont,Harvard,0,1,1,10.5,40ft,N,
2/28/2022,23,Ashmont,Algonquin,2,0,2,21,40ft,N,
2/28/2022,23,Ashmont,Wheatland,0,1,1,9,40ft,N,
2/28/2022,23,Ashmont,Southern,0,1,1,8,40ft,N,
2/28/2022,23,Ashmont,Lithgow,2,0,2,8.5,40ft,N,
2/28/2022,23,Ashmont,Wells,0,1,1,13.5,40ft,N,
2/28/2022,23,Ashmont,Ashmont,0,12,12,19,40ft,N,
2/28/2022,23,Ruggles,Ashmont,6,0,6,30,40ft,N,
2/28/2022,23,Ruggles,Dorchester,2,0,2,8.5,40ft,N,
2/28/2022,23,Ruggles,Wells,2,0,2,17.6,40ft,N,
2/28/2022,23,Ruggles,Center,2,1,3,10.5,40ft,N,
2/28/2022,23,Ruggles,Park,1,1,2,10,40ft,N,
2/28/2022,23,Ruggles,Algonquin,2,0,2,13,40ft,N,
2/28/2022,23,Ruggles,Vassar,2,0,2,29,40ft,N,
2/28/2022,23,Ruggles,Columbia,0,1,1,9.5,40ft,N,
2/28/2022,23,Ruggles,Joe,0,1,1,8.5,40ft,N,
2/28/2022,23,Ruggles,BHA,1,1,2,7.5,40ft,N,
2/28/2022,23,Ruggles,Sunderland,1,0,1,6.5,40ft,N,
2/28/2022,23,Ruggles,Intervale,1,0,1,10,40ft,N,
2/28/2022,23,Ruggles,Gaston,0,1,1,8,40ft,N,
2/28/2022,23,Ruggles,Quincy,3,0,3,15,40ft,N,
2/28/2022,23,Ruggles,Kearsarge,0,2,2,9,40ft,N,
2/28/2022,23,Ruggles,Nubian,3,8,11,27,40ft,N,
2/28/2022,23,Ashmont,Nubian,8,0,8,81,40ft,N,
2/28/2022,23,Ashmont,Nubian,1,0,1,17,40ft,N,
2/28/2022,23,Ashmont,Nubian,10,0,10,101,40ft,N,
2/28/2022,23,Ashmont,Nubian,23,0,23,99,40ft,N,
2/28/2022,28,Mattapan,Nubian,16,8,24,41,60ft,Y,
